1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD),fecha
72846.45957014,11474.77467868,73290.77347669,11551.20573319,72616.37623680,11437.99143711,73262.00725408,11533.32817828,97.90533195,1129174.32378290,20180304
70669.46131479,11132.29229221,72843.99021805,11474.38570633,70669.46131479,11132.29229221,72843.99021805,11474.38570633,129.79053620,1489266.67338994,20180303
68866.08571104,10831.25027304,70823.52133702,11156.56078338,68866.08571104,10829.62844186,70668.20467432,11132.09433840,129.72136976,1444070.52587497,20180302
68283.89387171,10786.32260318,68981.11214505,10856.54303638,67602.01053436,10656.78030635,68889.49656352,10834.93232931,133.22804517,1443516.85378312,20180301
67806.60866310,10734.15894871,69177.95000000,10927.50719049,67806.60866310,10732.98720844,68284.46578688,10786.41294457,153.68856730,1657748.35175689,20180228
64687.57034559,10239.74963126,67806.60866310,10734.15894871,64687.57034559,10239.74963126,67806.60866310,10734.15894871,177.80755454,1908614.55271349,20180227
63104.60753815,9927.65416563,64714.22946643,10243.96964944,63097.85035512,9919.95383450,64714.22946643,10243.96964944,135.60262597,1389109.18482150,20180226
65514.87602995,10339.28446776,65544.33833362,10343.93408563,62766.30915997,9905.51710881,63106.46786889,9927.94683396,102.12972456,1013938.47559882,20180225
65940.44422846,10408.99205652,67121.78718657,10595.05417139,65173.10214329,10285.34713853,65514.87602995,10339.28446776,99.65864538,1030399.08425518,20180224
67396.15491137,10611.22821919,67396.15491137,10611.22821919,65264.28046911,10300.87447033,65940.52223350,10409.00436996,141.58517321,1473760.68666486,20180223
70890.84794258,11167.78221472,71403.82624345,11247.97401502,67401.63380177,10612.09084639,67401.63380177,10612.09084639,153.14396857,1625177.70704185,20180222
74258.24482740,11698.94847621,74323.05813045,11705.70899634,70618.45396724,11116.63974297,70890.84794258,11167.78221472,115.05542749,1284913.95682951,20180221
70738.04804196,11142.30665689,74258.24482740,11698.94847621,70738.04804196,11142.30665689,74258.24482740,11698.94847621,82.34505743,963350.58414410,20180220
70754.81361468,11157.77736658,70754.81361468,11158.12928588,69886.39583910,10948.13029280,70738.04804196,11142.30665689,27.72774065,308950.98922512,20180219
68386.51084348,10775.12894000,70844.49713481,11163.67575143,68386.51084348,10775.12894000,70756.40837294,11158.02885417,43.52605684,485664.99812894,20180218
65609.08960022,10339.14140287,68386.51084348,10775.12894000,65399.71235645,10305.49666038,68386.51084348,10775.12894000,66.64132818,718068.90387212,20180217
63324.02104359,9977.00032198,65713.90326927,10357.67035546,63324.02104359,9974.75071863,65609.08960022,10339.14140287,59.29322475,613041.03492263,20180216
57971.91000000,9134.90120072,63308.65796971,9974.57979671,57971.91000000,9134.18154316,63308.65796971,9974.57979671,80.58712548,803822.71368760,20180215
55999.57187954,8831.69528519,57971.91000000,9134.90120072,55725.31245003,8784.48710472,57971.91000000,9134.90120072,111.88570198,1022064.83336034,20180214
55993.39071670,8849.49199764,56415.37965824,8914.41634492,55993.39071670,8832.47642581,56005.02384798,8832.55511540,110.12291791,972666.74190893,20180213
54328.99000000,8639.55696203,55992.15693106,8849.29700363,54269.53000000,8611.73726797,55992.15693106,8849.29700363,97.36754181,861634.29598996,20180212
57325.55000000,9115.64393277,57345.70000000,9118.84809261,54342.02000000,8639.14326666,54353.95000000,8643.52617518,86.13928903,744547.19944217,20180211
52630.20851905,8368.74628616,57326.82000000,9115.84588230,52630.20851905,8368.74628616,57318.89000000,9114.58489036,162.09619468,1477439.52681500,20180210
57655.79820000,9198.87649377,57655.79820000,9198.87649377,52265.01375101,8295.44008056,52630.34827637,8368.76850902,208.47308411,1744662.98127794,20180209
57655.79820000,9198.87649377,57655.79820000,9198.87649377,57655.79820000,9198.87649377,57655.79820000,9198.87649377,0.00000000,0.00000000,20180208
57655.79820000,9174.50463453,57655.79820000,9220.50187110,57655.79820000,9171.65871816,57655.79820000,9198.87649377,0.00000000,0.00000000,20180207
59323.91850000,9410.44542794,59323.91850000,9410.44542794,56223.02070000,8956.54963879,57655.79820000,9174.50463453,0.16950000,1555.07853555,20180206
